A,B,Trips,,,
125,25,2,,,
129,25,1,,,
142,25,2,,,
143,25,2,,,
147,25,2,,,
152,25,1,,,
154,25,1,,,
155,25,1,,,
168,25,2,,,
170,25,1,,,
171,25,1,,,
173,25,3,,,
176,25,2,,,
64,26,1,,,
73,27,1,,,
7,28,1,,,
64,28,1,,,
89,28,1,,,
67,30,2,,,
68,30,1,,,
69,30,1,,,
73,30,4,,,
181,30,3,,,
32,31,1,,,
33,31,1,,,
70,31,1,,,
73,31,3,,,
75,31,7,,,
73,32,1,,,
32,33,1,,,
73,33,6,,,
75,33,2,,,
13,34,1,,,
35,34,4,,,
37,34,1,,,
71,34,1,,,
93,34,1,,,
180,34,1,,,
11,35,1,,,
14,35,1,,,
22,35,1,,,
34,35,4,,,
36,35,3,,,
37,35,22,,,
38,35,4,,,
39,35,1,,,
54,35,3,,,
55,35,1,,,
58,35,1,,,
71,35,1,,,
72,35,1,,,
89,35,1,,,
91,35,2,,,
93,35,2,,,
94,35,4,,,
101,35,1,,,
108,35,2,,,
117,35,1,,,
125,35,1,,,
143,35,2,,,
169,35,1,,,
176,35,1,,,
183,35,2,,,
35,36,1,,,
38,36,1,,,
72,36,3,,,
127,36,4,,,
10,37,2,,,
14,37,1,,,
15,37,1,,,
34,37,1,,,
35,37,21,,,
38,37,18,,,
39,37,34,,,
54,37,1,,,
56,37,1,,,
58,37,2,,,
71,37,9,,,
72,37,12,,,
85,37,1,,,
87,37,3,,,
88,37,1,,,
91,37,5,,,
92,37,1,,,
93,37,1,,,
94,37,1,,,
107,37,5,,,
108,37,1,,,
116,37,4,,,
117,37,4,,,
118,37,3,,,
124,37,1,,,
127,37,1,,,
129,37,1,,,
151,37,3,,,
168,37,1,,,
179,37,2,,,
9,38,1,,,
16,38,1,,,
21,38,1,,,
35,38,1,,,
36,38,1,,,
37,38,13,,,
39,38,2,,,
40,38,7,,,
53,38,4,,,
54,38,9,,,
57,38,1,,,
58,38,1,,,
71,38,9,,,
72,38,8,,,
87,38,7,,,
89,38,2,,,
90,38,1,,,
91,38,1,,,
102,38,1,,,
106,38,1,,,
116,38,1,,,
117,38,4,,,
118,38,3,,,
127,38,1,,,
143,38,1,,,
151,38,1,,,
168,38,1,,,
176,38,1,,,
177,38,1,,,
14,39,1,,,
31,39,4,,,
35,39,2,,,
37,39,36,,,
38,39,5,,,
54,39,4,,,
58,39,1,,,
71,39,22,,,
72,39,13,,,
84,39,1,,,
87,39,2,,,
89,39,5,,,
90,39,2,,,
91,39,7,,,
102,39,3,,,
106,39,1,,,
107,39,2,,,
108,39,1,,,
116,39,5,,,
117,39,3,,,
118,39,4,,,
127,39,1,,,
143,39,1,,,
151,39,1,,,
152,39,1,,,
166,39,3,,,
168,39,1,,,
177,39,4,,,
183,39,1,,,
10,40,2,,,
38,40,6,,,
53,40,2,,,
54,40,3,,,
71,40,1,,,
72,40,1,,,
87,40,1,,,
89,40,1,,,
127,40,1,,,
129,40,1,,,
5,46,1,,,
17,46,17,,,
56,46,63,,,
57,46,39,,,
63,46,1,,,
76,46,6,,,
77,46,1,,,
81,46,2,,,
82,46,1,,,
86,46,1,,,
87,46,1,,,
104,46,2,,,
107,46,5,,,
108,46,1,,,
109,46,1,,,
111,46,1,,,
120,46,1,,,
138,46,12,,,
146,46,2,,,
147,46,44,,,
154,46,1,,,
160,46,2,,,
173,46,1,,,
176,46,1,,,
8,47,22,,,
9,47,4,,,
16,47,2,,,
20,47,4,,,
22,47,4,,,
23,47,9,,,
24,47,3,,,
48,47,44,,,
58,47,2,,,
59,47,1,,,
71,47,1,,,
72,47,1,,,
84,47,2,,,
102,47,5,,,
104,47,3,,,
106,47,1,,,
107,47,12,,,
108,47,14,,,
109,47,1,,,
116,47,1,,,
119,47,3,,,
124,47,5,,,
125,47,2,,,
126,47,1,,,
139,47,3,,,
142,47,3,,,
143,47,1,,,
152,47,2,,,
166,47,3,,,
170,47,2,,,
174,47,1,,,
176,47,18,,,
177,47,1,,,
4,48,1,,,
8,48,29,,,
9,48,7,,,
21,48,2,,,
22,48,2,,,
23,48,1,,,
24,48,5,,,
47,48,36,,,
