A,B,Trips,,,
91,180,1,,,
101,180,4,,,
102,180,3,,,
105,180,49,,,
106,180,30,,,
107,180,2,,,
108,180,1,,,
116,180,1,,,
117,180,3,,,
118,180,1,,,
120,180,1,,,
134,180,2,,,
139,180,4,,,
141,180,1,,,
148,180,1,,,
151,180,3,,,
152,180,1,,,
166,180,2,,,
167,180,2,,,
168,180,11,,,
170,180,1,,,
176,180,1,,,
177,180,1,,,
179,180,3,,,
181,180,4,,,
183,180,11,,,
8,181,1,,,
35,181,1,,,
73,181,1,,,
89,181,1,,,
91,181,1,,,
101,181,6,,,
102,181,1,,,
105,181,2,,,
106,181,2,,,
112,181,1,,,
178,181,1,,,
180,181,4,,,
183,181,2,,,
39,183,1,,,
89,183,2,,,
90,183,1,,,
91,183,1,,,
101,183,1,,,
106,183,5,,,
107,183,3,,,
117,183,1,,,
166,183,2,,,
167,183,1,,,
179,183,9,,,
180,183,11,,,
